date,city_slug,city_name,landing_url,new_offers_url,students_url,rooms_url,active_offers,median_price,avg_price_per_m2,avg_price,cheapest_district,expensive_district,top_source,top_price_range,new_offers_last_day,new_offers_last_7d
2026-08-31,bialystok,Białystok,https://znajdznajem.pl/bialystok,https://znajdznajem.pl/bialystok/nowe-oferty,https://znajdznajem.pl/bialystok/dla-studentow,https://znajdznajem.pl/bialystok/pokoje,2565,1800,49,1808,Słoneczny Stok,Przydworcowe,olx,1 500-1 999 zł,11,288
2026-08-31,bydgoszcz,Bydgoszcz,https://znajdznajem.pl/bydgoszcz,https://znajdznajem.pl/bydgoszcz/nowe-oferty,https://znajdznajem.pl/bydgoszcz/dla-studentow,https://znajdznajem.pl/bydgoszcz/pokoje,2936,1900,54,1978,Miedzyń,Górzyskowo,olx,1 500-1 999 zł,11,276
2026-08-31,czestochowa,Częstochowa,https://znajdznajem.pl/czestochowa,https://znajdznajem.pl/czestochowa/nowe-oferty,https://znajdznajem.pl/czestochowa/dla-studentow,https://znajdznajem.pl/czestochowa/pokoje,1178,1600,42,1782,—,—,olx,1 500-1 999 zł,1,101
2026-08-31,gdansk,Gdańsk,https://znajdznajem.pl/gdansk,https://znajdznajem.pl/gdansk/nowe-oferty,https://znajdznajem.pl/gdansk/dla-studentow,https://znajdznajem.pl/gdansk/pokoje,8127,2700,72,2792,Suchanino,Letnica,olx,2 500-2 999 zł,45,1095
2026-08-31,gdynia,Gdynia,https://znajdznajem.pl/gdynia,https://znajdznajem.pl/gdynia/nowe-oferty,https://znajdznajem.pl/gdynia/dla-studentow,https://znajdznajem.pl/gdynia/pokoje,2270,2500,66,2706,Leszczynki,Orłowo,olx,2 500-2 999 zł,2,294
2026-08-31,gliwice,Gliwice,https://znajdznajem.pl/gliwice,https://znajdznajem.pl/gliwice/nowe-oferty,https://znajdznajem.pl/gliwice/dla-studentow,https://znajdznajem.pl/gliwice/pokoje,1382,1850,51,1962,—,—,olx,1 500-1 999 zł,1,117
2026-08-31,katowice,Katowice,https://znajdznajem.pl/katowice,https://znajdznajem.pl/katowice/nowe-oferty,https://znajdznajem.pl/katowice/dla-studentow,https://znajdznajem.pl/katowice/pokoje,5059,1900,55,2053,Załęże,Brynów-Osiedle Zgrzebnioka,olx,1 500-1 999 zł,3,443
2026-08-31,kielce,Kielce,https://znajdznajem.pl/kielce,https://znajdznajem.pl/kielce/nowe-oferty,https://znajdznajem.pl/kielce/dla-studentow,https://znajdznajem.pl/kielce/pokoje,1624,1700,48,1782,—,—,olx,1 500-1 999 zł,17,173
2026-08-31,krakow,Kraków,https://znajdznajem.pl/krakow,https://znajdznajem.pl/krakow/nowe-oferty,https://znajdznajem.pl/krakow/dla-studentow,https://znajdznajem.pl/krakow/pokoje,20657,2600,70,2700,Nowa Huta,Zwierzyniec,olx,2 500-2 999 zł,9,2737
2026-08-31,lodz,Łódź,https://znajdznajem.pl/lodz,https://znajdznajem.pl/lodz/nowe-oferty,https://znajdznajem.pl/lodz/dla-studentow,https://znajdznajem.pl/lodz/pokoje,7469,1850,55,1987,Teofilów,Olechów,olx,1 500-1 999 zł,49,865
2026-08-31,lublin,Lublin,https://znajdznajem.pl/lublin,https://znajdznajem.pl/lublin/nowe-oferty,https://znajdznajem.pl/lublin/dla-studentow,https://znajdznajem.pl/lublin/pokoje,4972,2000,58,1942,Tatary,Stare Miasto,olx,2 000-2 499 zł,35,495
2026-08-31,olsztyn,Olsztyn,https://znajdznajem.pl/olsztyn,https://znajdznajem.pl/olsztyn/nowe-oferty,https://znajdznajem.pl/olsztyn/dla-studentow,https://znajdznajem.pl/olsztyn/pokoje,1782,2000,56,1938,—,—,olx,2 000-2 499 zł,12,185
2026-08-31,opole,Opole,https://znajdznajem.pl/opole,https://znajdznajem.pl/opole/nowe-oferty,https://znajdznajem.pl/opole/dla-studentow,https://znajdznajem.pl/opole/pokoje,1464,2000,52,1986,—,—,olx,2 000-2 499 zł,20,161
2026-08-31,oswiecim,Oświęcim,https://znajdznajem.pl/oswiecim,https://znajdznajem.pl/oswiecim/nowe-oferty,https://znajdznajem.pl/oswiecim/dla-studentow,https://znajdznajem.pl/oswiecim/pokoje,642,1600,42,1638,—,—,olx,1 500-1 999 zł,1,27
2026-08-31,poznan,Poznań,https://znajdznajem.pl/poznan,https://znajdznajem.pl/poznan/nowe-oferty,https://znajdznajem.pl/poznan/dla-studentow,https://znajdznajem.pl/poznan/pokoje,10068,2200,62,2186,Winogrady,Nowe Miasto,olx,2 000-2 499 zł,8,1100
