date,city_slug,city_name,landing_url,new_offers_url,students_url,rooms_url,active_offers,median_price,avg_price_per_m2,avg_price,cheapest_district,expensive_district,top_source,top_price_range,new_offers_last_day,new_offers_last_7d
2026-09-07,bialystok,Białystok,https://znajdznajem.pl/bialystok,https://znajdznajem.pl/bialystok/nowe-oferty,https://znajdznajem.pl/bialystok/dla-studentow,https://znajdznajem.pl/bialystok/pokoje,2828,1800,49,1817,Dziesięciny,Przydworcowe,olx,1 500-1 999 zł,13,334
2026-09-07,bydgoszcz,Bydgoszcz,https://znajdznajem.pl/bydgoszcz,https://znajdznajem.pl/bydgoszcz/nowe-oferty,https://znajdznajem.pl/bydgoszcz/dla-studentow,https://znajdznajem.pl/bydgoszcz/pokoje,3154,1900,54,1976,Miedzyń,Górzyskowo,olx,1 500-1 999 zł,10,283
2026-09-07,czestochowa,Częstochowa,https://znajdznajem.pl/czestochowa,https://znajdznajem.pl/czestochowa/nowe-oferty,https://znajdznajem.pl/czestochowa/dla-studentow,https://znajdznajem.pl/czestochowa/pokoje,1271,1600,43,1779,—,—,olx,1 500-1 999 zł,4,109
2026-09-07,gdansk,Gdańsk,https://znajdznajem.pl/gdansk,https://znajdznajem.pl/gdansk/nowe-oferty,https://znajdznajem.pl/gdansk/dla-studentow,https://znajdznajem.pl/gdansk/pokoje,8906,2700,73,2789,Żabianka,Letnica,olx,2 500-2 999 zł,49,1213
2026-09-07,gdynia,Gdynia,https://znajdznajem.pl/gdynia,https://znajdznajem.pl/gdynia/nowe-oferty,https://znajdznajem.pl/gdynia/dla-studentow,https://znajdznajem.pl/gdynia/pokoje,2523,2500,67,2707,Leszczynki,Orłowo,olx,2 500-2 999 zł,10,325
2026-09-07,gliwice,Gliwice,https://znajdznajem.pl/gliwice,https://znajdznajem.pl/gliwice/nowe-oferty,https://znajdznajem.pl/gliwice/dla-studentow,https://znajdznajem.pl/gliwice/pokoje,1493,1880,51,1964,—,—,olx,1 500-1 999 zł,2,125
2026-09-07,katowice,Katowice,https://znajdznajem.pl/katowice,https://znajdznajem.pl/katowice/nowe-oferty,https://znajdznajem.pl/katowice/dla-studentow,https://znajdznajem.pl/katowice/pokoje,5394,1900,55,2061,Załęże,Brynów-Osiedle Zgrzebnioka,olx,1 500-1 999 zł,0,606
2026-09-07,kielce,Kielce,https://znajdznajem.pl/kielce,https://znajdznajem.pl/kielce/nowe-oferty,https://znajdznajem.pl/kielce/dla-studentow,https://znajdznajem.pl/kielce/pokoje,1836,1700,48,1776,—,—,olx,1 500-1 999 zł,14,246
2026-09-07,krakow,Kraków,https://znajdznajem.pl/krakow,https://znajdznajem.pl/krakow/nowe-oferty,https://znajdznajem.pl/krakow/dla-studentow,https://znajdznajem.pl/krakow/pokoje,22510,2600,70,2694,Nowa Huta,Zwierzyniec,olx,2 500-2 999 zł,12,3288
2026-09-07,lodz,Łódź,https://znajdznajem.pl/lodz,https://znajdznajem.pl/lodz/nowe-oferty,https://znajdznajem.pl/lodz/dla-studentow,https://znajdznajem.pl/lodz/pokoje,8116,1850,55,1987,Teofilów,Olechów,olx,1 500-1 999 zł,3,972
2026-09-07,lublin,Lublin,https://znajdznajem.pl/lublin,https://znajdznajem.pl/lublin/nowe-oferty,https://znajdznajem.pl/lublin/dla-studentow,https://znajdznajem.pl/lublin/pokoje,5491,2000,58,1948,Tatary,Węglin Południowy,olx,2 000-2 499 zł,45,650
2026-09-07,olsztyn,Olsztyn,https://znajdznajem.pl/olsztyn,https://znajdznajem.pl/olsztyn/nowe-oferty,https://znajdznajem.pl/olsztyn/dla-studentow,https://znajdznajem.pl/olsztyn/pokoje,1958,1994,56,1939,—,—,olx,2 000-2 499 zł,13,184
2026-09-07,opole,Opole,https://znajdznajem.pl/opole,https://znajdznajem.pl/opole/nowe-oferty,https://znajdznajem.pl/opole/dla-studentow,https://znajdznajem.pl/opole/pokoje,1633,2000,53,1996,—,—,olx,2 000-2 499 zł,18,184
2026-09-07,oswiecim,Oświęcim,https://znajdznajem.pl/oswiecim,https://znajdznajem.pl/oswiecim/nowe-oferty,https://znajdznajem.pl/oswiecim/dla-studentow,https://znajdznajem.pl/oswiecim/pokoje,672,1600,43,1672,—,—,olx,1 500-1 999 zł,5,51
2026-09-07,poznan,Poznań,https://znajdznajem.pl/poznan,https://znajdznajem.pl/poznan/nowe-oferty,https://znajdznajem.pl/poznan/dla-studentow,https://znajdznajem.pl/poznan/pokoje,11170,2200,62,2183,Piątkowo,Nowe Miasto,olx,2 000-2 499 zł,47,1423
2026-09-07,rzeszow,Rzeszów,https://znajdznajem.pl/rzeszow,https://znajdznajem.pl/rzeszow/nowe-oferty,https://znajdznajem.pl/rzeszow/dla-studentow,https://znajdznajem.pl/rzeszow/pokoje,3976,2000,53,1990,Baranówka,Śródmieście,olx,2 000-2 499 zł,25,398
2026-09-07,sosnowiec,Sosnowiec,https://znajdznajem.pl/sosnowiec,https://znajdznajem.pl/sosnowiec/nowe-oferty,https://znajdznajem.pl/sosnowiec/dla-studentow,https://znajdznajem.pl/sosnowiec/pokoje,877,1600,46,1683,—,—,olx,1 500-1 999 zł,3,80
2026-09-07,szczecin,Szczecin,https://znajdznajem.pl/szczecin,https://znajdznajem.pl/szczecin/nowe-oferty,https://znajdznajem.pl/szczecin/dla-studentow,https://znajdznajem.pl/szczecin/pokoje,4033,2300,62,2363,Żelechowa,Stare Miasto,olx,2 000-2 499 zł,26,445
2026-09-07,torun,Toruń,https://znajdznajem.pl/torun,https://znajdznajem.pl/torun/nowe-oferty,https://znajdznajem.pl/torun/dla-studentow,https://znajdznajem.pl/torun/pokoje,2148,1750,52,1770,Bielawy,Winnica,olx,1 500-1 999 zł,19,228
2026-09-07,warszawa,Warszawa,https://znajdznajem.pl/warszawa,https://znajdznajem.pl/warszawa/nowe-oferty,https://znajdznajem.pl/warszawa/dla-studentow,https://znajdznajem.pl/warszawa/pokoje,36360,3200,85,3647,Rembertów,Wilanów,olx,3 000-3 499 zł,169,5353
2026-09-07,wroclaw,Wrocław,https://znajdznajem.pl/wroclaw,https://znajdznajem.pl/wroclaw/nowe-oferty,https://znajdznajem.pl/wroclaw/dla-studentow,https://znajdznajem.pl/wroclaw/pokoje,18075,2600,69,2664,Kozanów,Ołtaszyn,olx,2 500-2 999 zł,63,2285
